id;accident_id;accident_date;severity;description;repair_cost
1;any but;2025-04-11T04:40:36;warmly voluminous;as although dutiful;16821.6
2;after woot;2025-04-10T20:50:05;despite;psst while wafer;16618.72
3;tabulate;2025-04-11T04:00:24;when;stuff below;7425.3
4;yet hm meaningfully;2025-04-11T07:16:55;grandpa internalize athwart;cake;14810.58
5;king ouch fledgling;2025-04-10T21:58:54;sleepily;corrupt tarry;21309.21
6;quaintly wallop;2025-04-10T19:16:30;tragic;defenseless along loosely;4012.52
7;phooey;2025-04-11T03:17:32;punctually;aha annually;31761.23
8;legging signature;2025-04-11T04:12:52;however pace blissfully;chiffonier swordfish topsail;17610.31
9;including evince;2025-04-11T04:26:11;tenderly absent;lumbering;26919.19
10;severe doubtfully;2025-04-10T11:32:05;plus;gosh rebuff charter;3366.31
