id;incident_id;incident_date;type;description;estimated_loss
1;oh;2025-04-10T18:10:39;upright yieldingly sticker;minority drat;19939.06
2;sinful thoughtfully what;2025-04-11T07:53:51;beneath ew;airport helplessly above;31059.36
3;colorize unusual coolly;2025-04-10T15:25:02;jaunty tenderly;meh too;18982.67
4;bookcase;2025-04-10T11:27:43;shirk;hm gripping;16937.69
5;though cafe till;2025-04-10T18:29:58;alb duh naughty;next;21057.12
6;indeed yesterday manner;2025-04-11T00:53:50;mixed painfully lest;nicely considering;23446.25
7;failing;2025-04-11T06:10:57;meanwhile including;alive hence;2286.69
8;entry indeed traduce;2025-04-10T16:39:03;doing;evenly um;15841.25
9;oddly;2025-04-10T22:23:12;shyly boohoo airmail;grown;22678.15
10;aside;2025-04-10T10:13:11;concrete uncover;but terrible on;1028.15
