id;brand;model;year;registration_number;fuel_type;transmission;engine_size;color;mileage;insurance_status;car_type;is_blacklisted;price_when_bought;current_price
1;brr early mmm;until even;though subtle;ick;completion;speedily;21117.96;salmon;10586;knowledgeably courageously;beyond;false;19502.97;7013.72
2;surface underneath;growing unabashedly because;pro toward;reword amid;overfeed;from impact;29982.83;teal;4733;duh;cantaloupe ew factorise;true;18328.07;22855.08
3;yieldingly geez;hidden where bidet;swanling however;obvious phew fedora;onto comparison unlike;revere;10360.1;grey;13448;psst;quicker er;false;19260.77;10117.68
4;transom thyme;joy browse yowza;saw;flawed within dark;underneath meager how;word phrase;3498.78;pink;21328;hassle gummy unexpectedly;yahoo afraid;true;21641.4;9775.93
5;contrail commonly;lest screw;qua ah;clearly supposing;bashfully violently;mysteriously;14410.97;grey;30420;duh wisecrack;aha westernize kindly;false;19104.07;23438.99
6;yet yum;over;bustling abnormally hidden;however;midst;gadzooks;31940.76;gold;8774;cleverly ultimately breakable;same provided;true;1450.85;19614.23
7;partridge duh than;unless in distinct;ah;couch;yum council silently;deceivingly ick duh;23998.71;teal;27317;ah youthfully fidget;amazing;false;14771.71;22801.94
8;outsource thin drat;internalize colossal;when;upon;commercial depart merit;carelessly refine sonnet;19810.93;green;6824;goodwill;croon;true;4106.29;24629.94
9;zesty approach;whereas failing;yet;between;brr onto co-producer;before afore;9775.49;red;22954;from reassemble;unfortunately modulo bathrobe;false;29898.28;14292.51
10;truly thankfully;even;which coolly;secrecy spectate;wonderfully ack;as vanish out;23304.92;black;4196;usually warmly;kiss;false;30383.24;6693.02
