id;contract_id;start_date;end_date;premium_amount;coverage_details;status;renouvelable
1;amidst until briefly;2025-04-11T06:49:39;2025-04-10T11:34:08;16160.59;aw;substantial woot;true
2;lounge geez before;2025-04-10T20:38:20;2025-04-11T01:44:49;25985.44;although anti however;miserably psst regarding;false
3;sweetly;2025-04-11T04:02:02;2025-04-10T21:01:17;29636.73;offensively;gadzooks throughout;true
4;fit or some;2025-04-10T14:00:11;2025-04-11T06:24:18;25768.74;gleefully;victoriously;false
5;obedience flood;2025-04-10T14:55:29;2025-04-10T11:23:54;31629.91;er mob as;unless;false
6;for openly;2025-04-10T23:58:36;2025-04-10T18:22:19;13374.02;besides quadruple ice-cream;experience harmful;true
7;if geez brr;2025-04-11T03:13:21;2025-04-10T10:27:04;8574.49;or tattered;brr confusion;true
8;boo;2025-04-10T19:03:57;2025-04-10T18:44:54;22962.13;cheerfully;pish numeracy;false
9;yet;2025-04-11T00:12:28;2025-04-10T11:46:48;11918.3;marketplace porter innovation;typewriter somber;false
10;gee louse catalyst;2025-04-11T02:58:46;2025-04-10T20:54:51;21691.89;pish;drat posh accentuate;false
