id;offer_id;offer_name;price;coverage_details;terms_and_conditions
1;finally formamide;yowza;6215.24;ridge than cricket;fooey since
2;flight lawful;yum truly until;12832.23;tarry;reckon yahoo underneath
3;substitution;despite;3834.08;dandelion;extremely not yet
4;afore;dwell joyous stormy;3812;lest;unruly meh
5;bah amidst;seriously who ethyl;344.2;briskly;to mid nasalise
6;skyscraper yahoo;luck obediently of;28430.68;than until;bah blah even
7;hefty curiously hmph;keel nor waterlogged;25632.24;geez plus;vengeful
8;ha;instructive;24245.94;indeed acidly;self-reliant inasmuch
9;throughout;ski;14239.55;patiently;modulo yahoo
10;suffocate hole regarding;whoa;21414.21;near huzzah;phew
