id;region;theft_risk;accident_risk;weather_risk
1;around acidly;31624.1;25482.5;32321.56
2;reorient indeed freezing;25436.82;9642.34;988.89
3;doing address upbeat;7066.67;22909.35;9162.82
4;courtroom flight like;4781.59;11937.72;6464.94
5;ordinary shell unless;7489.91;10745.54;5350.43
6;though nerve usher;27100.95;16184.71;24834
7;morning laughter;8853.1;13503.85;1203.82
8;throbbing;6589.21;1861.58;27044.86
9;abaft casement;13322.6;19969.65;19447.67
10;unfurl absent flu;2201.68;14004.41;5835.21
