id;accessory_id;name;type;factory_installed
1;soon zowie neatly;weakly whenever meanwhile;crushing unfurl pfft;false
2;whose cappelletti libel;coaxingly resource hence;naturally wearily pish;true
3;geez;uh-huh;failing;false
4;overcook bench;that wonderfully;prance absent;true
5;gently;stormy huzzah;furthermore over;true
6;till westernise supposing;label unless;retool;true
7;so;shrilly phooey cafe;round guacamole tomatillo;false
8;elver needily premeditation;advertisement;yet;true
9;likewise;unethically yet evenly;unnaturally scholarship until;true
10;ugh;nicely;offensively;false
